,Asset1,Asset2,Beta
0,COR,CAH,0.5084909890953054
1,CVS,BSX,-0.3258377429197281
2,CVS,CNC,0.6287906927485161
3,DHR,BIIB,-1.0250640824360562
4,DXCM,DHR,-0.5908277961593145
5,ELV,AMGN,0.552141142200434
6,HCA,BSX,0.14944204595537794
7,HCA,DHR,-0.25118154288049666
8,HLN,GSK,1.7630776257727432
9,HLN,HCA,27.933099291546444
10,HZNP,GSK,0.08939075187230328
11,ILMN,HUM,0.8965225691701093
12,ISRG,CAH,0.17005646260068893
13,ISRG,COR,0.3286844348582047
14,ISRG,ILMN,-0.13028323525242114
15,LLY,ILMN,-0.15750981614529141
16,MDT,EW,1.1965837771111343
17,MRK,GSK,0.19900329239902037
18,MRNA,A,0.42183349692670596
19,MRNA,ELV,0.575346440010259
20,MRNA,ILMN,0.3131868053885449
21,NVO,BSX,0.3380358830073299
22,NVO,DHR,-0.5643111933766676
23,NVO,ILMN,-0.4894402709687933
24,NVS,BSX,0.45245946973439216
25,NVS,ILMN,-0.7127849274105283
26,PFE,ELV,4.027491338445827
27,PFE,ILMN,1.4529902733157185
28,RMD,ILMN,0.6577344985261658
29,SGEN,ELV,-0.5650324431509143
30,SNY,BSX,0.8131335619833641
31,SNY,HCA,5.202592710020144
32,SNY,HLN,0.17421943824252134
33,SYK,BSX,0.14292331384336693
34,SYK,CVS,-0.3492325503455152
35,SYK,DHR,-0.24659352397924514
36,SYK,GSK,0.04919767374380053
37,SYK,HCA,0.9245049902444614
38,SYK,HLN,0.029422668910597652
39,SYK,RHHBY,-0.034802952262863465
40,SYK,SNY,0.16037776197834214
41,TAK,GSK,1.348308292513065
42,ZTS,ELV,-1.0525742061035077
43,ZTS,ILMN,-0.48558081938423203
